# Benchmarks for ../memory with n = [1000 2000 3000 4000 5000 6000 7000 8000 9000 10000]
# n     time (s)
1000	24024
2000	48024
3000	72024
4000	96024
5000	120024
6000	144024
7000	168024
8000	192024
9000	216024
10000	240024
